officeCode,name,state,district,region,latitude,longitude,pincode,tier,dummy,dataNote
DEMO-0073,Dhanbad Head Post Office,Jharkhand,Dhanbad,Dhanbad,23.7957,86.4304,826001,HO,True,Synthetic demo record using representative real India Post office name/PIN conventions; verify against live India Post directory before production.
DEMO-0074,Bokaro Head Post Office,Jharkhand,Bokaro,Dhanbad,23.6693,86.1511,827001,HO,True,Synthetic demo record using representative real India Post office name/PIN conventions; verify against live India Post directory before production.
DEMO-0075,Raipur Head Post Office,Chhattisgarh,Raipur,Raipur,21.2514,81.6296,492001,HO,True,Synthetic demo record using representative real India Post office name/PIN conventions; verify against live India Post directory before production.
DEMO-0076,Bhilai Head Post Office,Chhattisgarh,Bhilai,Durg,21.1938,81.3509,490001,HO,True,Synthetic demo record using representative real India Post office name/PIN conventions; verify against live India Post directory before production.
DEMO-0077,Bilaspur Head Post Office,Chhattisgarh,Bilaspur,Bilaspur,22.0797,82.1391,495001,HO,True,Synthetic demo record using representative real India Post office name/PIN conventions; verify against live India Post directory before production.
DEMO-0078,Korba Head Post Office,Chhattisgarh,Korba,Bilaspur,22.3595,82.7501,495677,HO,True,Synthetic demo record using representative real India Post office name/PIN conventions; verify against live India Post directory before production.
DEMO-0079,Dehradun Head Post Office,Uttarakhand,Dehradun,Dehradun,30.3165,78.0322,248001,HO,True,Synthetic demo record using representative real India Post office name/PIN conventions; verify against live India Post directory before production.
DEMO-0080,Haridwar Head Post Office,Uttarakhand,Haridwar,Haridwar,29.9457,78.1642,249401,HO,True,Synthetic demo record using representative real India Post office name/PIN conventions; verify against live India Post directory before production.
DEMO-0081,Haldwani Head Post Office,Uttarakhand,Haldwani,Nainital,29.2183,79.513,263139,HO,True,Synthetic demo record using representative real India Post office name/PIN conventions; verify against live India Post directory before production.
DEMO-0082,Rishikesh Head Post Office,Uttarakhand,Rishikesh,Dehradun,30.0869,78.2676,249201,HO,True,Synthetic demo record using representative real India Post office name/PIN conventions; verify against live India Post directory before production.
DEMO-0083,Shimla Head Post Office,Himachal Pradesh,Shimla,Shimla,31.1048,77.1734,171001,HO,True,Synthetic demo record using representative real India Post office name/PIN conventions; verify against live India Post directory before production.
DEMO-0084,Dharamshala Head Post Office,Himachal Pradesh,Dharamshala,Kangra,32.219,76.3234,176215,HO,True,Synthetic demo record using representative real India Post office name/PIN conventions; verify against live India Post directory before production.
DEMO-0085,Mandi Head Post Office,Himachal Pradesh,Mandi,Mandi,31.708,76.932,175001,HO,True,Synthetic demo record using representative real India Post office name/PIN conventions; verify against live India Post directory before production.
DEMO-0086,Solan Head Post Office,Himachal Pradesh,Solan,Solan,30.9045,77.0967,173212,HO,True,Synthetic demo record using representative real India Post office name/PIN conventions; verify against live India Post directory before production.
DEMO-0087,Guwahati Head Post Office,Assam,Guwahati,Assam,26.1445,91.7362,781001,GPO,True,Synthetic demo record using representative real India Post office name/PIN conventions; verify against live India Post directory before production.
DEMO-0088,Dibrugarh Head Post Office,Assam,Dibrugarh,Upper Assam,27.4728,94.912,786001,HO,True,Synthetic demo record using representative real India Post office name/PIN conventions; verify against live India Post directory before production.
DEMO-0089,Silchar Head Post Office,Assam,Silchar,Barak Valley,24.8333,92.7789,788001,HO,True,Synthetic demo record using representative real India Post office name/PIN conventions; verify against live India Post directory before production.
DEMO-0090,Jorhat Head Post Office,Assam,Jorhat,Upper Assam,26.7509,94.2037,785001,HO,True,Synthetic demo record using representative real India Post office name/PIN conventions; verify against live India Post directory before production.
DEMO-0091,Srinagar Head Post Office,Jammu and Kashmir,Srinagar,Kashmir,34.0837,74.7973,190001,HO,True,Synthetic demo record using representative real India Post office name/PIN conventions; verify against live India Post directory before production.
DEMO-0092,Jammu Head Post Office,Jammu and Kashmir,Jammu,Jammu,32.7266,74.857,180001,HO,True,Synthetic demo record using representative real India Post office name/PIN conventions; verify against live India Post directory before production.
DEMO-0093,Anantnag Head Post Office,Jammu and Kashmir,Anantnag,Kashmir,33.7311,75.1487,192101,HO,True,Synthetic demo record using representative real India Post office name/PIN conventions; verify against live India Post directory before production.
DEMO-0094,Baramulla Head Post Office,Jammu and Kashmir,Baramulla,Kashmir,34.198,74.3636,193101,HO,True,Synthetic demo record using representative real India Post office name/PIN conventions; verify against live India Post directory before production.
DEMO-0095,Panaji Head Post Office,Goa,Panaji,Goa,15.4909,73.8278,403001,HO,True,Synthetic demo record using representative real India Post office name/PIN conventions; verify against live India Post directory before production.
DEMO-0096,Margao Head Post Office,Goa,Margao,Goa,15.2832,73.9862,403601,HO,True,Synthetic demo record using representative real India Post office name/PIN conventions; verify against live India Post directory before production.
DEMO-0097,Mapusa Head Post Office,Goa,Mapusa,Goa,15.5915,73.8086,403507,HO,True,Synthetic demo record using representative real India Post office name/PIN conventions; verify against live India Post directory before production.
DEMO-0098,Ponda Head Post Office,Goa,Ponda,Goa,15.4032,74.0154,403401,HO,True,Synthetic demo record using representative real India Post office name/PIN conventions; verify against live India Post directory before production.
DEMO-0099,Agartala Head Post Office,Tripura,Agartala,Tripura,23.8315,91.2868,799001,HO,True,Synthetic demo record using representative real India Post office name/PIN conventions; verify against live India Post directory before production.
DEMO-0100,Dharmanagar Head Post Office,Tripura,Dharmanagar,North Tripura,24.3667,92.1667,799250,HO,True,Synthetic demo record using representative real India Post office name/PIN conventions; verify against live India Post directory before production.
DEMO-0101,Udaipur Tripura Head Post Office,Tripura,Udaipur,South Tripura,23.5333,91.4833,799120,HO,True,Synthetic demo record using representative real India Post office name/PIN conventions; verify against live India Post directory before production.
DEMO-0102,Kailashahar Head Post Office,Tripura,Kailashahar,North Tripura,24.3317,92.003,799277,HO,True,Synthetic demo record using representative real India Post office name/PIN conventions; verify against live India Post directory before production.
DEMO-0103,Shillong Head Post Office,Meghalaya,Shillong,Meghalaya,25.5788,91.8933,793001,HO,True,Synthetic demo record using representative real India Post office name/PIN conventions; verify against live India Post directory before production.
DEMO-0104,Tura Head Post Office,Meghalaya,Tura,Meghalaya,25.5146,90.203,794001,HO,True,Synthetic demo record using representative real India Post office name/PIN conventions; verify against live India Post directory before production.
DEMO-0105,Jowai Head Post Office,Meghalaya,Jowai,Meghalaya,25.45,92.2,793150,HO,True,Synthetic demo record using representative real India Post office name/PIN conventions; verify against live India Post directory before production.
DEMO-0106,Nongpoh Head Post Office,Meghalaya,Nongpoh,Meghalaya,25.9,91.88,793102,HO,True,Synthetic demo record using representative real India Post office name/PIN conventions; verify against live India Post directory before production.
DEMO-0107,Imphal Head Post Office,Manipur,Imphal,Manipur,24.817,93.9368,795001,HO,True,Synthetic demo record using representative real India Post office name/PIN conventions; verify against live India Post directory before production.
DEMO-0108,Thoubal Head Post Office,Manipur,Thoubal,Manipur,24.638,94.01,795138,HO,True,Synthetic demo record using representative real India Post office name/PIN conventions; verify against live India Post directory before production.
DEMO-0109,Churachandpur Head Post Office,Manipur,Churachandpur,Manipur,24.3333,93.6833,795128,HO,True,Synthetic demo record using representative real India Post office name/PIN conventions; verify against live India Post directory before production.
DEMO-0110,Ukhrul Head Post Office,Manipur,Ukhrul,Manipur,25.095,94.361,795142,HO,True,Synthetic demo record using representative real India Post office name/PIN conventions; verify against live India Post directory before production.
DEMO-0111,Kohima Head Post Office,Nagaland,Kohima,Nagaland,25.6751,94.1086,797001,HO,True,Synthetic demo record using representative real India Post office name/PIN conventions; verify against live India Post directory before production.
DEMO-0112,Dimapur Head Post Office,Nagaland,Dimapur,Nagaland,25.8629,93.7531,797112,HO,True,Synthetic demo record using representative real India Post office name/PIN conventions; verify against live India Post directory before production.
DEMO-0113,Mokokchung Head Post Office,Nagaland,Mokokchung,Nagaland,26.322,94.518,798601,HO,True,Synthetic demo record using representative real India Post office name/PIN conventions; verify against live India Post directory before production.
DEMO-0114,Tuensang Head Post Office,Nagaland,Tuensang,Nagaland,26.267,94.824,798612,HO,True,Synthetic demo record using representative real India Post office name/PIN conventions; verify against live India Post directory before production.
DEMO-0115,Itanagar Head Post Office,Arunachal Pradesh,Itanagar,Arunachal Pradesh,27.0844,93.6053,791111,HO,True,Synthetic demo record using representative real India Post office name/PIN conventions; verify against live India Post directory before production.
DEMO-0116,Tawang Head Post Office,Arunachal Pradesh,Tawang,Arunachal Pradesh,27.586,91.859,790104,HO,True,Synthetic demo record using representative real India Post office name/PIN conventions; verify against live India Post directory before production.
DEMO-0117,Pasighat Head Post Office,Arunachal Pradesh,Pasighat,Arunachal Pradesh,28.066,95.326,791102,HO,True,Synthetic demo record using representative real India Post office name/PIN conventions; verify against live India Post directory before production.
DEMO-0118,Naharlagun Head Post Office,Arunachal Pradesh,Naharlagun,Arunachal Pradesh,27.104,93.696,791110,HO,True,Synthetic demo record using representative real India Post office name/PIN conventions; verify against live India Post directory before production.
DEMO-0119,Aizawl Head Post Office,Mizoram,Aizawl,Mizoram,23.7271,92.7176,796001,HO,True,Synthetic demo record using representative real India Post office name/PIN conventions; verify against live India Post directory before production.
DEMO-0120,Lunglei Head Post Office,Mizoram,Lunglei,Mizoram,22.887,92.735,796701,HO,True,Synthetic demo record using representative real India Post office name/PIN conventions; verify against live India Post directory before production.
DEMO-0121,Champhai Head Post Office,Mizoram,Champhai,Mizoram,23.467,93.327,796321,HO,True,Synthetic demo record using representative real India Post office name/PIN conventions; verify against live India Post directory before production.
DEMO-0122,Kolasib Head Post Office,Mizoram,Kolasib,Mizoram,24.223,92.678,796081,HO,True,Synthetic demo record using representative real India Post office name/PIN conventions; verify against live India Post directory before production.
DEMO-0123,Gangtok Head Post Office,Sikkim,Gangtok,Sikkim,27.3389,88.6065,737101,HO,True,Synthetic demo record using representative real India Post office name/PIN conventions; verify against live India Post directory before production.
DEMO-0124,Namchi Head Post Office,Sikkim,Namchi,Sikkim,27.1667,88.35,737126,HO,True,Synthetic demo record using representative real India Post office name/PIN conventions; verify against live India Post directory before production.
DEMO-0125,Gyalshing Head Post Office,Sikkim,Gyalshing,Sikkim,27.288,88.266,737111,HO,True,Synthetic demo record using representative real India Post office name/PIN conventions; verify against live India Post directory before production.
DEMO-0126,Mangan Head Post Office,Sikkim,Mangan,Sikkim,27.508,88.533,737116,HO,True,Synthetic demo record using representative real India Post office name/PIN conventions; verify against live India Post directory before production.
DEMO-0127,Puducherry Head Post Office,Puducherry,Puducherry,Puducherry,11.9416,79.8083,605001,HO,True,Synthetic demo record using representative real India Post office name/PIN conventions; verify against live India Post directory before production.
DEMO-0128,Karaikal Head Post Office,Puducherry,Karaikal,Puducherry,10.9254,79.838,609602,HO,True,Synthetic demo record using representative real India Post office name/PIN conventions; verify against live India Post directory before production.
DEMO-0129,Mahe Head Post Office,Puducherry,Mahe,Puducherry,11.701,75.534,673310,HO,True,Synthetic demo record using representative real India Post office name/PIN conventions; verify against live India Post directory before production.
DEMO-0130,Yanam Head Post Office,Puducherry,Yanam,Puducherry,16.7333,82.2167,533464,HO,True,Synthetic demo record using representative real India Post office name/PIN conventions; verify against live India Post directory before production.
DEMO-0131,Chandigarh Head Post Office,Chandigarh,Chandigarh,Chandigarh,30.7333,76.7794,160017,HO,True,Synthetic demo record using representative real India Post office name/PIN conventions; verify against live India Post directory before production.
DEMO-0132,Port Blair Head Post Office,Andaman and Nicobar Islands,Port Blair,Andaman and Nicobar Islands,11.6234,92.7265,744101,HO,True,Synthetic demo record using representative real India Post office name/PIN conventions; verify against live India Post directory before production.
DEMO-0133,Diglipur Head Post Office,Andaman and Nicobar Islands,Diglipur,Andaman and Nicobar Islands,13.266,93.0,744202,HO,True,Synthetic demo record using representative real India Post office name/PIN conventions; verify against live India Post directory before production.
DEMO-0134,Leh Head Post Office,Ladakh,Leh,Ladakh,34.1526,77.5771,194101,HO,True,Synthetic demo record using representative real India Post office name/PIN conventions; verify against live India Post directory before production.
DEMO-0135,Kargil Head Post Office,Ladakh,Kargil,Ladakh,34.5539,76.1349,194103,HO,True,Synthetic demo record using representative real India Post office name/PIN conventions; verify against live India Post directory before production.
DEMO-0136,Daman Head Post Office,Dadra and Nagar Haveli and Daman and Diu,Daman,Dadra and Nagar Haveli and Daman and Diu,20.3974,72.8328,396210,HO,True,Synthetic demo record using representative real India Post office name/PIN conventions; verify against live India Post directory before production.
DEMO-0137,Silvassa Head Post Office,Dadra and Nagar Haveli and Daman and Diu,Silvassa,Dadra and Nagar Haveli and Daman and Diu,20.2763,73.0083,396230,HO,True,Synthetic demo record using representative real India Post office name/PIN conventions; verify against live India Post directory before production.
DEMO-0138,Diu Head Post Office,Dadra and Nagar Haveli and Daman and Diu,Diu,Dadra and Nagar Haveli and Daman and Diu,20.7144,70.987,362520,HO,True,Synthetic demo record using representative real India Post office name/PIN conventions; verify against live India Post directory before production.
DEMO-0139,Kavaratti Head Post Office,Lakshadweep,Kavaratti,Lakshadweep,10.5669,72.642,682555,HO,True,Synthetic demo record using representative real India Post office name/PIN conventions; verify against live India Post directory before production.
DEMO-0140,Agatti Head Post Office,Lakshadweep,Agatti,Lakshadweep,10.856,72.195,682553,SO,True,Synthetic demo record using representative real India Post office name/PIN conventions; verify against live India Post directory before production.
